,Url,Date,Content,Id,User,Reply Count,Retweet Count,Like Count,Quote Count,Conversation Id,Language,Source,Coordinates
0,https://twitter.com/cesc4official/status/1620816691331739648,2023-02-01 16:09:47+00:00,Not a bad night after all… Which are the 2 games I should be focussing most on? https://t.co/oIWSITMab3,1620816691331739648,https://twitter.com/cesc4official,97,25,918,6,1620816691331739648,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1,https://twitter.com/cesc4official/status/1619404929176842240,2023-01-28 18:39:56+00:00,Vittoria di una squadra forte! 💙 #COMOFOOTBALL https://t.co/CL3QIi2n7x,1619404929176842240,https://twitter.com/cesc4official,14,25,726,0,1619404929176842240,it,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2,https://twitter.com/cesc4official/status/1618724909609517057,2023-01-26 21:37:47+00:00,Que golazo madre mia,1618724909609517057,https://twitter.com/cesc4official,12,71,1067,7,1618724909609517057,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
3,https://twitter.com/cesc4official/status/1616897337384747009,2023-01-21 20:35:40+00:00,@andy_murray Legend,1616897337384747009,https://twitter.com/cesc4official,6,9,612,0,1616819150453870594,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
4,https://twitter.com/cesc4official/status/1615678213958647808,2023-01-18 11:51:18+00:00,@Como_1907 💙💙💙💙,1615678213958647808,https://twitter.com/cesc4official,1,0,7,0,1615678213958647808,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
5,https://twitter.com/cesc4official/status/1611048296776089605,2023-01-05 17:13:40+00:00,"@BadiashileB What a signing 💙
Bonne chance mon ami 🙏🏻💪🏻",1611048296776089605,https://twitter.com/cesc4official,39,199,2743,38,1611013896265175040,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
6,https://twitter.com/cesc4official/status/1607735332874915842,2022-12-27 13:49:08+00:00,My Big Fat Beautiful Spanish Lebanese Family ❤️ https://t.co/QmnqzGpJ5l,1607735332874915842,https://twitter.com/cesc4official,191,1022,27882,86,1607735332874915842,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
7,https://twitter.com/cesc4official/status/1607473496702984193,2022-12-26 20:28:41+00:00,"20 seasons later, still undefeated on Boxing Day 😅
What a win from the team today!
Time to rest a few days and come back stronger for the big second half of the season.
💙💙💙💙 https://t.co/4GTwKTYizl",1607473496702984193,https://twitter.com/cesc4official,28,77,3043,6,1607473496702984193,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
8,https://twitter.com/cesc4official/status/1607473341157511170,2022-12-26 20:28:04+00:00,Ødegaard is really at it today. Love his style. Do you think the players that didn’t go to the World Cup will have a bigger impact than the players that did this second part of the season?,1607473341157511170,https://twitter.com/cesc4official,297,2036,31109,123,1607473341157511170,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
9,https://twitter.com/cesc4official/status/1606239841749856256,2022-12-23 10:46:35+00:00,"@marcbircham Work hard, play hard 😉😅",1606239841749856256,https://twitter.com/cesc4official,5,1,152,0,1606220530255728641,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
10,https://twitter.com/cesc4official/status/1605994785206059033,2022-12-22 18:32:49+00:00,"It’s been a pleasure as always. You guys are great! See you soon and Merry Christmas to you all 🙏🏻🎄 
And don’t forget tonight City vs Liverpool! 😂😅 
Sorry @firstLadyD4 ❤️🤗",1605994785206059033,https://twitter.com/cesc4official,17,47,1219,3,1605994785206059033,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
11,https://twitter.com/cesc4official/status/1605993240913592321,2022-12-22 18:26:41+00:00,Working hard on it,1605993240913592321,https://twitter.com/cesc4official,40,74,1548,27,1605993240913592321,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
12,https://twitter.com/cesc4official/status/1605992133004890112,2022-12-22 18:22:17+00:00,It probably is hurting some individual talents but is also probably is helping the team be better and every coach will always choose TEAM first.,1605992133004890112,https://twitter.com/cesc4official,6,44,608,3,1605992133004890112,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
13,https://twitter.com/cesc4official/status/1605991566354440192,2022-12-22 18:20:01+00:00,Chelsea va PSG in the CL. We took it for granted and paid for it. I was really upset with myself.,1605991566354440192,https://twitter.com/cesc4official,19,136,1732,38,1605991566354440192,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
14,https://twitter.com/cesc4official/status/1605991357163634688,2022-12-22 18:19:12+00:00,11/12 porqué jugué a su lado y metió mas goles que nunca 😜,1605991357163634688,https://twitter.com/cesc4official,6,42,811,1,1605991357163634688,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
15,https://twitter.com/cesc4official/status/1605991154792759296,2022-12-22 18:18:23+00:00,Only football right here… 😅 Sorry!!,1605991154792759296,https://twitter.com/cesc4official,7,7,504,1,1605991154792759296,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
